parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
p,0.6073621904461014,0.17429647564689663,0.021646361043459437,64.22756072834788,47.50786055172902,1.017670115116721,13.433917742804411
lp,-5.946615350042771,0.9900555772056201,0.125108614115763,61.81971067988297,70.84302152268528,1.0114730991263774,12.930288784748582
n_steps,2.3,0.9587449708822046,0.10306137270220793,86.53949417803778,NaN,0.9903847319735384,18.100709930566364
is_accept,1.0,0.0,NaN,NaN,NaN,NaN,NaN
acceptance_rate,0.8628612962922673,0.18907503340310577,0.0173470327741043,60.13592911249921,NaN,1.0338502206526006,12.578106904936043
log_density,-5.946615350042771,0.9900555772056201,0.125108614115763,61.81971067988297,70.84302152268528,1.0114730991263774,12.930288784748582
hamiltonian_energy,6.4741925263707465,1.1591062322733152,0.15365670832936315,67.99652153058928,74.73523131493167,1.0413225007010483,14.222238345657662
hamiltonian_energy_error,0.005429371175384761,0.37331235123748713,0.026397169506072137,200.0,95.25349747449997,1.0015653479268654,41.83225266680611
max_hamiltonian_energy_error,0.12505589701331474,0.5279510965878355,0.04689846468462393,118.10467818065315,91.18676599959404,1.0294607480547397,24.702923693924525
tree_depth,1.51,0.5024183937956914,0.049705419739854845,102.1700416420069,NaN,0.9903457112050124,21.37001498473267
numerical_error,0.0,0.0,NaN,NaN,NaN,NaN,NaN
step_size,0.9148207134666678,1.1158161231197418e-16,7.71632288405312e-17,NaN,NaN,NaN,NaN
nom_step_size,0.9148207134666678,1.1158161231197418e-16,7.71632288405312e-17,NaN,NaN,NaN,NaN
